setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,classical,iid,200,200.0,0.0,0.065,0.01784216445419183,0.01651002445882488,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,classical,cluster,200,200.0,0.0,0.945,0.5765373461146805,0.5318895282116967,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,classical,boot,200,200.0,0.0,0.865,0.4523604454162166,0.4264102302311701,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,pp,iid,200,200.0,0.0,0.12,0.01414226139441779,0.013993810636438755,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,pp,cluster,200,200.0,0.0,0.975,0.3241919529104696,0.331344376077047,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,pp,boot,200,200.0,0.0,0.955,0.25672240862520984,0.26448313010998675,0.9,0.10349262610552037,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,classical,iid,200,200.0,0.0,0.045,0.02407753384996969,0.022702665719308773,0.9,0.18433884195751551,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,classical,cluster,200,200.0,0.0,0.905,0.8340022708700946,0.7729527701833334,0.9,0.18433884195751551,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,classical,boot,200,200.0,0.0,0.855,0.6367236099509624,0.5947464497969537,0.9,0.18433884195751551,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,pp,iid,200,200.0,0.0,0.05,0.019323423893451458,0.01805083236431336,0.9,0.18433884195751551,separate,5.0,ok
