encoder,task,label_set,design,fold,K,n_units_total,calibration_unit,n_cal,n_test,between_share,between_share_q25,between_share_q75,between_var,within_var,n_genes,n_cal_draws,coverage_observed,width_observed,miss_above,miss_below,calibration_unit_a1,block_fold,shortfall,score,uses_test_labels
resnet50,IDC,shipped,patient,1,1.0,2.0,patient,3005.0,7760.0,0.041263245573068055,0.00480255924099869,0.17113392090340557,0.017126116932647206,0.5109400305221151,50,3,0.8789441580756013,4.7395215941479165,0.1044536082474226,0.0166022336769759,patient,False,0.02105584192439869,abs,True
resnet50,IDC,shipped,patient,2,1.0,2.0,patient,3005.0,4010.0,0.044409745981271356,0.01314398091367233,0.1493771805048712,0.03824354291415166,0.7139831821523541,50,3,0.7815178719866999,4.7600146471984255,0.1896226101413133,0.0288595178719866,patient,False,0.11848212801330016,abs,True
resnet50,IDC,shipped,patient,3,1.0,2.0,patient,7760.0,3005.0,0.026950218487291205,0.003998889832559518,0.1035661160258568,0.014041345413187134,0.553498883181779,50,3,0.8275851358846368,4.423145478127279,0.0794941763727121,0.0929206877426511,patient,False,0.07241486411536324,abs,True
resnet50,LUNG,shipped,donor,LUNG_hest_patient_1,7.0,8.0,block,430.0,3262.0,0.032859834076453195,0.011034508399475477,0.07006360302014375,0.012635478840961806,0.43446949054415684,50,3,0.6586347843858573,2.294044343888885,0.2546188432454526,0.0867463723686899,block,True,0.2413652156141427,abs,True
resnet50,LUNG,shipped,donor,LUNG_hest_patient_2,8.0,9.0,block,682.0,1944.0,0.06133843968526727,0.03160069439692807,0.1347856359235033,0.023743347785864344,0.41458440035724836,50,3,0.6367318244170096,2.447207942643673,0.1161351165980795,0.2471330589849108,block,True,0.2632681755829904,abs,True
resnet50,LUNG,shipped,patient,0,7.0,8.0,block,423.0,3262.0,0.032021568981952936,0.012929971799174468,0.07184862698652739,0.014089929969195447,0.46067617839958985,50,3,0.6659717964438995,2.3469562560355257,0.2475904353157572,0.0864377682403433,block,True,0.23402820355610054,abs,True
resnet50,LUNG,shipped,patient,1,8.0,9.0,block,703.0,1944.0,0.0685114010672045,0.035373366717955324,0.1590438413703072,0.03187792929061506,0.42875138581414257,50,3,0.6267729766803841,2.465381621926285,0.1146296296296296,0.2585973936899863,block,True,0.2732270233196159,abs,True
resnet50,LYMPH_IDC,shipped,donor,Patient_3,1.0,2.0,donor,4992.0,4992.0,0.04643200594765515,0.010056192932659379,0.1779231693948176,0.005969659456119936,0.17677556856489957,50,3,0.8901095085470084,2.508397509354898,0.0647743055555555,0.0451161858974359,donor,False,0.00989049145299159,abs,True
resnet50,LYMPH_IDC,shipped,donor,Patient_6,1.0,2.0,donor,4988.0,4992.0,0.09640445933060536,0.039491369200175735,0.22251970946741295,0.015194480750948466,0.17226444819758502,50,3,0.8700801282051281,2.7317025819357785,0.0731784188034188,0.0567414529914529,donor,False,0.029919871794871877,abs,True
resnet50,LYMPH_IDC,shipped,donor,Patient_7,1.0,2.0,donor,4992.0,4988.0,0.1600056604091084,0.0562448079322988,0.27470885460683275,0.036936363736500805,0.2047446828406052,50,3,0.6273469660518578,1.8561653887544367,0.3499866345896819,0.0226663993584603,donor,False,0.2726530339481422,abs,True
resnet50,LYMPH_IDC,shipped,donor,Patient_8,1.0,2.0,donor,4992.0,4992.0,0.0996713349884653,0.029199563407550456,0.2452610139323237,0.019525278140167357,0.2020991682939836,50,3,0.8996380876068376,2.8114186648904558,0.0795900106837606,0.0207719017094017,donor,False,0.0003619123931624113,abs,True
resnet50,LYMPH_IDC,shipped,patient,0,1.0,2.0,patient,4992.0,4992.0,0.02819570804489788,0.00835737733415733,0.08279813407395709,0.00457583803974812,0.15932648446706774,50,3,0.8717828525641025,2.278714675311294,0.0689329594017094,0.059284188034188,patient,False,0.02821714743589754,abs,True
resnet50,LYMPH_IDC,shipped,patient,1,1.0,2.0,patient,4992.0,4992.0,0.0812208943292419,0.020751207684737934,0.1907375967841679,0.010506947340808412,0.17602374148651503,50,3,0.808752670940171,2.5072905363009816,0.0747462606837606,0.1165010683760683,patient,False,0.09124732905982902,abs,True
resnet50,LYMPH_IDC,shipped,patient,2,1.0,2.0,patient,4992.0,4988.0,0.1587993582246146,0.05063030404927755,0.2745688903161043,0.04180880959898489,0.21654138087176372,50,3,0.6342328254477412,1.9079545516823544,0.344227479283614,0.0215396952686447,patient,False,0.26576717455225884,abs,True
resnet50,LYMPH_IDC,shipped,patient,3,1.0,2.0,patient,4992.0,4992.0,0.08197372425674404,0.010676986253633445,0.15105683354248886,0.009180882172918126,0.19184527583381028,50,3,0.8983533653846153,2.6757703511905557,0.0822275641025641,0.0194190705128205,patient,False,0.0016466346153847233,abs,True
resnet50,PAAD,shipped,donor,TENX116,1.0,2.0,donor,3610.0,2010.0,0.01799199437962997,0.0015874134454257646,0.06717375313745914,0.005550911133136632,0.3762650549125487,50,1,0.811273631840796,3.235323726672044,0.1791641791044776,0.0095621890547263,donor,False,0.08872636815920398,abs,True
resnet50,PAAD,shipped,donor,TENX126,1.0,2.0,donor,2010.0,1951.0,0.021003182836014007,0.008827477183665094,0.08599813138633206,0.010097095139904755,0.3527092996924205,50,1,0.938216299333675,4.127755819716823,0.0221014864172219,0.039682214249103,donor,False,-0.038216299333674986,abs,True
resnet50,PAAD,shipped,donor,TENX140,1.0,2.0,donor,2010.0,3610.0,0.01799199437962997,0.0015874134454257646,0.06717375313745914,0.005550911133136632,0.3762650549125487,50,1,0.911257617728532,3.615793367127338,0.0604155124653739,0.0283268698060941,donor,False,-0.011257617728531955,abs,True
resnet50,PAAD,shipped,patient,0,1.0,2.0,patient,1951.0,2010.0,0.02322660727821242,0.006969443185833641,0.09160929285068582,0.014017868291320734,0.3613041608308491,50,1,0.769313432835821,3.4659997582353173,0.2116218905472636,0.0190646766169154,patient,False,0.13068656716417903,abs,True
resnet50,PAAD,shipped,patient,1,1.0,2.0,patient,2010.0,3610.0,0.01799199437962997,0.0015874134454257646,0.06717375313745914,0.005550911133136632,0.3762650549125487,50,1,0.911257617728532,3.615793367127338,0.0604155124653739,0.0283268698060941,patient,False,-0.011257617728531955,abs,True
resnet50,PAAD,shipped,patient,2,1.0,2.0,patient,2010.0,1951.0,0.03387899414747282,0.00958924851709803,0.09864881079709387,0.016360695327955144,0.3845438565758525,50,1,0.9385033316248078,4.19528288449509,0.0208405945668887,0.0406560738083034,patient,False,-0.03850333162480779,abs,True
resnet50,PRAD,shipped,donor,PRAD_patient1,4.0,5.0,slide,10917.0,25891.0,0.0463048786213778,0.026132347607864287,0.07648285787688427,0.007568612990085127,0.1764647162084249,50,3,0.8116281141718155,1.9690714367676891,0.1053334690409248,0.0830384167872596,slide,False,0.08837188582818456,abs,True
resnet50,PRAD,shipped,donor,PRAD_patient2,2.0,3.0,slide,6163.0,36819.0,0.01763580370264827,0.00801387711091938,0.04427043053062832,0.0032532239888171596,0.15288112105382543,50,3,0.9232705340164828,2.609455296323933,0.0664344208245179,0.0102950451589992,slide,False,-0.023270534016482824,abs,True
resnet50,PRAD,shipped,patient,0,4.0,5.0,slide,7471.0,25891.0,0.046376580525132334,0.03421945664837947,0.06871327918312346,0.007802633413260679,0.1750959388200461,50,3,0.792188839395092,1.940099858515687,0.0921975292540818,0.1156136313508261,slide,False,0.10781116060490803,abs,True
resnet50,PRAD,shipped,patient,1,2.0,3.0,slide,5828.0,36819.0,0.01443388571577862,0.00431386928717304,0.04083771601140318,0.002205920519993146,0.15770478058161,50,3,0.9365508734605564,2.709205228752319,0.0471111536589966,0.016337972880447,slide,False,-0.03655087346055641,abs,True
resnet50,PRAD,shipped,slide_out,MEND139,6.0,7.0,slide,14527.0,3749.0,0.11759335979932711,0.07534536482761467,0.14536574096832333,0.01842482908391012,0.15575364337958264,50,3,0.8359971547968348,2.1681592104375924,0.0341264337156575,0.1298764114875077,slide,False,0.06400284520316524,abs,True
resnet50,PRAD,shipped,slide_out,MEND140,6.0,7.0,slide,18264.0,1935.0,0.11468874001173272,0.05496728663726064,0.14601080920153792,0.013949681270187642,0.11322408363149436,50,3,0.8817605512489234,1.99871841356819,0.1113040482342807,0.0069354005167958,slide,False,0.018239448751076637,abs,True
resnet50,PRAD,shipped,slide_out,MEND141,6.0,7.0,slide,16922.0,1794.0,0.0650645918765328,0.046929477723391684,0.1105313289339224,0.007532982512395162,0.11204482897234284,50,3,0.9384986993682646,2.0884832787424528,0.0570642883686361,0.0044370122630992,slide,False,-0.038498699368264555,abs,True
