task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,scope,n_folds
CCRCC,shipped,hoptimus0,donor,abs,INT12,predicted_value_decile,9,150848,113879,0.7549254879083581,2.053295850753784,1.3960459232330322,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,0,65274,54198,0.8303152863314643,2.092301845550537,-0.0004759232397191,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,1,70535,60841,0.8625646841993336,2.1137609481811523,0.1749684363603592,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,2,73944,65208,0.8818565400843882,2.11368179321289,0.2715201675891876,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,3,78207,70170,0.8972342629176416,2.1169779300689697,0.3525737524032593,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,4,82428,74988,0.9097394089387102,2.1228597164154053,0.431379497051239,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,5,83099,77295,0.9301555975402832,2.1312038898468018,0.5157318115234375,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,6,76074,71518,0.9401109446065672,2.129420757293701,0.6088246703147888,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,7,59316,55845,0.9414829051183492,2.1404945850372314,0.7217523455619812,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,8,44667,41269,0.9239259408511876,2.148354768753052,0.8651775121688843,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT13,predicted_value_decile,9,20306,15589,0.7677041268590564,2.096358060836792,1.0673733949661257,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,0,60710,56619,0.9326140668753088,2.0709011554718018,0.0320367701351642,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,1,95000,90395,0.9515263157894736,2.1069698333740234,0.1721225678920745,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,2,104458,100379,0.9609508127668536,2.132939338684082,0.2683110237121582,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,3,103589,100366,0.9688866578497716,2.143519163131714,0.3512054681777954,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,4,94924,92873,0.9783932409085164,2.1568727493286133,0.4362798631191253,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,5,81532,79889,0.9798484030809989,2.159466505050659,0.5255707502365112,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,6,64953,63930,0.98425015010854,2.153862476348877,0.6235342025756836,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,7,45351,44527,0.9818306101298758,2.1432926654815674,0.7384132146835327,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,8,25503,24478,0.9598086499627496,2.1677229404449463,0.9025587439537048,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT14,predicted_value_decile,9,8280,6989,0.8440821256038648,2.24856185913086,1.1962469816207886,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,0,70986,64058,0.9024032907897332,1.962125420570373,0.0100855687633156,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,1,85042,79043,0.9294583852684556,1.99242103099823,0.1744306236505508,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,2,85025,79564,0.9357718318141725,1.997347712516785,0.2682120203971863,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,3,82562,77402,0.937501514013711,2.007211923599243,0.3484292030334472,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,4,79832,74769,0.936579316564786,2.023976802825928,0.4256531000137329,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,5,75891,70851,0.9335889631181564,2.048102378845215,0.5090868473052979,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,6,69966,65750,0.9397421604779465,2.0774919986724854,0.6038671731948853,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,7,64281,60703,0.9443381403525148,2.093485116958618,0.712711751461029,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,8,62492,57203,0.9153651667413428,2.1366920471191406,0.8733433485031128,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT15,predicted_value_decile,9,64923,52011,0.8011182477704357,2.213256359100342,1.1970539093017578,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,0,65048,56956,0.8755995572500307,2.1065866947174072,0.0332155898213386,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,1,77092,69615,0.903011985679448,2.0144851207733154,0.182112768292427,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,2,70757,65411,0.9244456378874176,1.9847347736358645,0.2723015248775482,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,3,60398,56762,0.939799331103679,1.9589197635650637,0.3461439311504364,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,4,51087,48471,0.9487932350695872,1.934221863746643,0.4185420274734497,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,5,44003,41915,0.9525486898620548,1.9192153215408323,0.4980287253856659,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,6,39051,37268,0.954341758213618,1.899409770965576,0.5892806053161621,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,7,33735,31665,0.938639395286794,1.8959219455718996,0.7029972672462463,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,8,24708,22215,0.8991015055852356,1.9269397258758545,0.8410383462905884,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT16,predicted_value_decile,9,15021,10259,0.6829771653019107,1.8603274822235107,1.0302069187164309,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,0,115079,108213,0.9403366383093352,2.0228936672210693,-0.03036530315876,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,1,78443,75147,0.9579822291345308,2.0015997886657715,0.1749069094657898,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,2,63272,60897,0.9624636490074598,1.9770591259002688,0.2722449898719787,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,3,54018,52257,0.96739975563701,1.9521962404251096,0.3514873683452606,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,4,48795,47311,0.9695870478532636,1.9392781257629397,0.4269281923770904,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,5,45236,43807,0.968410115836944,1.9209263324737549,0.5024393200874329,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,6,44488,42919,0.9647320625786728,1.900302171707153,0.592058539390564,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,7,39380,37104,0.9422041645505332,1.9203035831451416,0.7128037810325623,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,8,29946,27217,0.908869298069859,1.9835208654403689,0.8556792736053467,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT17,predicted_value_decile,9,19093,12090,0.6332163620174933,2.078222751617432,1.1470500230789185,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,0,64452,58647,0.9099329733755352,2.3339996337890625,0.0027551893144845,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,1,57776,52677,0.9117453613957353,2.2920801639556885,0.1797958463430404,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,2,58218,52979,0.9100106496272632,2.284543991088867,0.2756058275699615,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,3,63628,57591,0.9051203872508958,2.2958004474639893,0.3528176248073578,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,4,69706,63227,0.9070524775485612,2.319467544555664,0.4279471933841705,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,5,75778,68854,0.9086278339359708,2.334525346755981,0.5097150802612305,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,6,79758,72396,0.9076957797336944,2.302310943603516,0.6041792035102844,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,7,82540,73606,0.8917615701478071,2.230727434158325,0.7156834602355957,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,8,86591,73717,0.8513240406046818,2.143676996231079,0.852503776550293,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT18,predicted_value_decile,9,98803,70281,0.7113245549224214,1.9641183614730835,1.117780089378357,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,0,164126,159124,0.9695234149373044,2.0321643352508545,-0.0088555589318275,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,1,136132,133208,0.9785208474128052,2.085362911224365,0.1754965186119079,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,2,113085,110995,0.9815183269222266,2.1037817001342773,0.2789995074272156,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,3,93521,92166,0.9855112755423916,2.108264684677124,0.3624315559864044,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,4,76694,75493,0.9843403656087828,2.103421449661255,0.4410935342311859,fold,
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,5,61456,60433,0.9833539442853424,2.096476554870605,0.5207622647285461,fold,
