task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,5,61456,60433,0.9833539442853424,2.0964765548706055,0.5207622647285461
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,6,45451,44854,0.9868649754680865,2.085392475128174,0.6132625341415405
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,7,28294,27795,0.982363752032233,2.0788440704345703,0.741267740726471
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,8,15573,14419,0.9258973865022796,2.0796239376068115,0.9085609316825867
CCRCC,shipped,hoptimus0,donor,abs,INT19,predicted_value_decile,9,7868,5852,0.7437722419928826,2.0334956645965576,1.1145190000534058
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,0,40781,38606,0.9466663397170251,2.0948760509490967,0.002057554665952921
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,1,35059,33238,0.9480589862802704,2.1546549797058105,0.20162925124168396
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,2,32431,30618,0.9440966976041442,2.1471128463745117,0.3054651618003845
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,3,31337,29544,0.9427832913169736,2.125560998916626,0.38346460461616516
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,4,31207,29452,0.9437626173614894,2.102323293685913,0.45253121852874756
CCRCC,shipped,hoptimus0,donor,abs,INT2,predicted_value_decile,5,32549,30972,0.9515499708132354,2.092510938644409,0.5211513042449951
