encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,0,scaled,donor,35996,13610,1349,1,0.9553298739807267,2.2849942680804385,2.475060566537774,0.009191994069681244,0.03547813194959229,2.405069118705249,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,0,abs,donor,24433,7820,1349,1,0.8854262416604896,2.049200642205959,2.608958681967191,0.009681245366938474,0.10489251297257232,1.024600321102978,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,0,scaled,donor,24433,7820,1349,1,0.9544699777613045,2.2812404247062448,2.487052771487351,0.010555967383246852,0.03497405485544848,2.454695502064155,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,0,abs,block,24433,7820,1349,1,0.7763528539659006,1.6246255955488929,2.968846733215772,0.01580429948109711,0.20784284655300234,0.8123127977744451,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,0,scaled,block,24433,7820,1349,1,0.8784136397331355,1.8268000608249582,2.408764585264597,0.018309859154929574,0.10327650111193477,1.9712286706955566,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,1,abs,donor,35996,20622,1349,1,0.933921423276501,2.0507869351147696,2.349312990317672,0.013743513713862123,0.052335063009636765,1.0253934675573857,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,1,scaled,donor,35996,20622,1349,1,0.9744106745737582,2.2930499893262386,2.4132885820090846,0.016871756856931062,0.0087175685693106,2.7355553876579783,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,1,abs,donor,24287,7668,1349,1,0.936011860637509,2.0689401573544437,2.3568044234522967,0.013565604151223131,0.0504225352112676,1.03447007867722,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT4,1,scaled,donor,24287,7668,1349,1,0.9727353595255745,2.3081723306543576,2.435192657496571,0.017123795404002967,0.010140845070422537,2.7582751482525314,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,1,abs,block,24287,7668,1349,1,0.86880652335063,1.5725694606080012,2.1916942174407263,0.02775389177168273,0.10343958487768719,0.7862847303040041,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT4,1,scaled,block,24287,7668,1349,1,0.9211860637509265,1.5892394288865943,1.954535529666168,0.036160118606375094,0.0426538176426983,1.8968026577841055,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT4,2,abs,donor,35996,18248,1349,1,0.8537879911045216,1.8761678060437226,2.6491531467806264,0.012053372868791695,0.13415863602668648,0.938083903021858,False,False
