encoder,task,label_set,fold,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_pool_spots,n_T_a1_natural,n_match_target,n_T_a1,n_blocks_chosen,n_blocks_total,n_block_spots,n_buffer_dropped,n_T_shared,n_C_unit_natural,n_C_matched,n_E,min_T_spots,status
uni_v2,LYMPH_IDC,shipped,Patient_7,0,donor,3,1,14976,9984,9980,9980,16,72,2215,1101,6664,4992,2215,4988,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_7,1,donor,3,1,14976,9984,9980,9980,16,72,2226,1030,6724,4992,2226,4988,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_7,2,donor,3,1,14976,9984,9980,9980,16,72,2230,1159,6591,4992,2230,4988,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_8,0,donor,3,1,14972,9980,9980,9980,16,72,2221,987,6772,4992,2221,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_8,1,donor,3,1,14972,9984,9980,9980,16,72,2213,746,7021,4988,2213,4992,1000,ok
uni_v2,LYMPH_IDC,shipped,Patient_8,2,donor,3,1,14972,9980,9980,9980,16,72,2207,1214,6559,4992,2207,4992,1000,ok
uni_v2,PAAD,shipped,TENX116,0,donor,2,1,5561,1951,1951,1951,7,36,392,327,1232,3610,392,2010,1000,ok
uni_v2,PAAD,shipped,TENX126,0,donor,2,1,5620,3610,1951,1951,7,31,398,228,1325,2010,398,1951,1000,ok
uni_v2,PAAD,shipped,TENX140,0,donor,2,1,3961,1951,1951,1951,8,36,425,354,1172,2010,425,3610,1000,ok
uni_v2,PRAD,shipped,PRAD_patient1,0,slide,15,4,36819,24539,19299,19299,70,343,4264,2598,12437,12280,4264,25891,1000,ok
uni_v2,PRAD,shipped,PRAD_patient1,1,slide,15,4,36819,25902,19299,19299,76,341,4293,2463,12543,10917,4293,25891,1000,ok
uni_v2,PRAD,shipped,PRAD_patient1,2,slide,15,4,36819,26953,19299,19299,71,339,4270,2266,12763,9866,4270,25891,1000,ok
uni_v2,PRAD,shipped,PRAD_patient2,0,slide,8,2,25891,19728,19299,19299,42,200,4252,2305,12742,6163,4252,36819,1000,ok
uni_v2,PRAD,shipped,PRAD_patient2,1,slide,8,2,25891,20092,19299,19299,42,201,4265,1977,13057,5799,4265,36819,1000,ok
uni_v2,PRAD,shipped,PRAD_patient2,2,slide,8,2,25891,19299,19299,19299,47,203,4397,2448,12454,6592,4397,36819,1000,ok
uni_v2,READ,shipped,READ_specimen1,0,slide,2,1,3819,2128,2128,2128,8,34,456,319,1353,1691,456,4588,1000,ok
uni_v2,READ,shipped,READ_specimen7,0,slide,2,1,4588,2203,2128,2128,9,35,478,315,1335,2385,478,3819,1000,ok
