encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,0,abs,donor,2405,691,5079,1,0.8735065957865723,3.127054909269725,5.182891984633645,0.08773774365032486,0.03875566056310297,1.5635274546348474,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,0,scaled,donor,2405,691,5079,1,0.8556329986217758,3.674388902822491,5.589074722883083,0.10122071273872808,0.043146288639495954,3.5659608866299677,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,0,abs,block,2405,691,5079,1,0.8138216184288244,2.4591277612506763,5.478918991374514,0.11082102776137036,0.07535735380980509,1.229563880625344,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,0,scaled,block,2405,691,5079,1,0.7967395156526876,2.726199458280073,5.580544024835916,0.13055325851545574,0.07270722583185667,2.70505335378719,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,1,abs,donor,3389,3417,5079,1,0.835180153573538,3.0139756607793022,5.389361287533877,0.06466627288836385,0.10015357353809805,1.5069878303896411,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,1,scaled,donor,3389,3417,5079,1,0.882012207127387,4.229534989741769,5.993253892914558,0.06402047647174641,0.05396731640086631,4.691350951599642,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,1,abs,donor,2244,756,5079,1,0.8570151604646589,3.1143532521798796,5.162909449915254,0.05699940933254576,0.08598543020279584,1.5571766260899391,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,1,scaled,donor,2244,756,5079,1,0.8482063398306753,7.525463499421536,9.651791579164051,0.06526481590864344,0.08652884426068126,13.079761466843834,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,1,abs,block,2244,756,5079,1,0.7262847017129357,2.195825748411066,6.34074861487034,0.09280960819058869,0.1809056900964757,1.097912874205534,False
hoptimus0,COAD,shipped,donor,C_block,COAD_donor_TENX111,1,scaled,block,2244,756,5079,1,0.6773183697578264,2.192669156601585,6.885669821934876,0.11831856664697776,0.2043630635951959,2.691142613541577,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,2,abs,donor,3389,3417,5079,1,0.8421185272691477,3.0076912289547924,5.237202858924707,0.0680763929907462,0.08980507974010632,1.5038456144774108,False
hoptimus0,COAD,shipped,donor,anchor_a1,COAD_donor_TENX111,2,scaled,donor,3389,3417,5079,1,0.892561527859815,4.19015844817389,5.433219400160201,0.0555660563102973,0.05187241582988778,4.6774713192729855,False
hoptimus0,COAD,shipped,donor,C_unit,COAD_donor_TENX111,2,abs,donor,2438,714,5079,1,0.8116046465839735,3.0171043127709085,5.819155090102936,0.06491829100216581,0.12347706241386101,1.5085521563854516,False
