key,value,unit,source,note
width_ratio_cluster_theta3_CCRCC_merged_donor_hoptimus0_nL8,0.764323764126112,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_hoptimus0_nL12,0.10226632771627635,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_hoptimus0_nL12,0.9833344790365606,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_permuted_nL6,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_permuted_nL6,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_permuted_nL8,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_permuted_nL8,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_permuted_nL12,0.0,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_permuted_nL12,1.0,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_resnet50_nL6,0.1045997445781407,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_resnet50_nL6,0.9927487955932588,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_resnet50_nL8,0.9261803241702391,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_resnet50_nL8,0.8284706581381555,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_resnet50_nL12,0.07671564037475515,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_resnet50_nL12,0.9933243130328995,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_uni_v2_nL6,0.1520928157051295,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_uni_v2_nL6,0.9658253093793174,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_uni_v2_nL8,0.9354019239764764,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_uni_v2_nL8,0.6457659122739572,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_donor_uni_v2_nL12,0.11766415383423925,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_donor_uni_v2_nL12,0.9803479194113014,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_hoptimus0_nL6,0.4513129884690731,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_hoptimus0_nL6,0.7977090783848735,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_hoptimus0_nL8,0.7426877159435685,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_hoptimus0_nL8,0.7154706220437896,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_hoptimus0_nL12,0.38810365044126705,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_hoptimus0_nL12,0.7985413708608019,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_permuted_nL6,0.3467724421275694,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_permuted_nL6,0.8716815409839631,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_permuted_nL8,0.5634700169804916,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_permuted_nL8,0.7635044110968878,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_permuted_nL12,0.33059988944576024,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_permuted_nL12,0.8157140888575551,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_resnet50_nL6,0.41298732149553463,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_resnet50_nL6,0.8566652181624222,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_resnet50_nL8,0.6412610116152234,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_resnet50_nL8,0.7432088209201698,ratio,b1_estimates.csv,
lambda_median_theta3_CCRCC_merged_spot_resnet50_nL12,0.3209546384802694,lambda,b1_estimates.csv,
width_ratio_cluster_theta3_CCRCC_merged_spot_resnet50_nL12,0.8045553410728657,ratio,b1_estimates.csv,
