arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_32-10074,0.8753135313531354,1.5838147307286332,1.5838147307286328,2.30110818234878,0.1051265126512651,0.0195599559955995,1.5838147307286332,1.4399149556911686,16135.0,7123.333333333333,7123.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_33-10331,0.8363139592647789,1.469775278759325,1.469775278759325,2.3880542771503963,0.1218976651763537,0.0417883755588673,1.4697752787593246,1.3650271572621209,16135.0,9175.666666666666,9175.666666666666
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_IU-13437,0.9168025078369908,1.6706924259714728,1.6706924259714728,2.0582599274334643,0.0363479623824451,0.0468495297805642,1.6706924259714728,1.5445760695989827,16135.0,6070.666666666667,6070.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_IU-F52,0.9494128474139516,1.6611648138066957,1.661164813806695,1.9414939479540871,0.0345941468801767,0.0159930057058715,1.6611648138066957,1.54752250949686,16135.0,8511.0,8511.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_IU-F59,0.865967365967366,1.6620302449502011,1.662030244950201,2.6999439647164465,0.1321034521034521,0.0019291819291819,1.662030244950201,1.567554358344525,16135.0,5119.0,5119.0
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_IU-M32,0.9216450546656496,1.6012177111709402,1.6012177111709402,1.9732502867687072,0.0726519196542079,0.0057030256801423,1.6012177111709402,1.47083274881345,16135.0,7435.333333333333,7435.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_atlas_IU-M61,0.9196874248617456,1.6849209924565791,1.6849209924565791,2.116364116196443,0.0518185461248697,0.0284940290133846,1.6849209924565791,1.5062098703341351,16135.0,6381.666666666667,6381.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_papilla_20-0034,0.8812128816394814,1.4772452644303395,1.4772452644303395,1.9755002240146924,0.0557869789488359,0.0630001394116827,1.477245264430339,1.3224282706726838,16135.0,7177.666666666667,7177.666666666667
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_papilla_KRP428,0.8171097308488613,1.58596193317168,1.5859619331716803,3.1001319953248956,0.1743933747412008,0.0084968944099378,1.5859619331716803,1.4423122883751642,16135.0,6544.333333333333,6544.333333333333
indiana,INDIANA_KIDNEY,hoptimus0,donor,pooled_quantile,kidVis_papilla_M50,0.8116700917933963,1.423803191281123,1.423803191281123,2.909195600642908,0.1599725989861624,0.0283573092204411,1.423803191281123,1.2689959195709442,16135.0,9919.666666666666,9919.666666666666
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,0,0.8868684118548028,1.4239057246799005,1.4239057246799005,2.040585283641093,0.0936500930038884,0.0194814951413086,1.4239057246799005,1.29557163872521,16135.0,4654.0,4654.0
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,1,0.8874583865698126,1.4276632898061916,1.4276632898061916,2.0495951956816807,0.0938590407853542,0.0186825726448331,1.4276632898061916,1.302448815710828,16135.0,5217.0,5217.0
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,2,0.8896392018896229,1.4152522464723671,1.4152522464723671,2.0129022771855354,0.091308867993146,0.0190519301172309,1.4152522464723671,1.2932808857529057,16135.0,5519.0,5519.0
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,3,0.8865980987712261,1.4135154678211783,1.4135154678211783,2.0380061473383724,0.0943582289499257,0.0190436722788481,1.4135154678211783,1.2725031421880604,16135.0,4992.0,4992.0
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,4,0.8902268826074907,1.4277338839855256,1.4277338839855256,2.020515012761224,0.0903492358311133,0.0194238815613957,1.4277338839855258,1.2770458637149311,16135.0,5412.0,5412.0
indiana,INDIANA_KIDNEY,hoptimus0,random,pooled_quantile,5,0.8941213450625962,1.4312637551983325,1.4312637551983325,1.9971188295267208,0.0862101547902818,0.0196685001471218,1.4312637551983325,1.2901202587280023,16135.0,5634.0,5634.0
