encoder,task,fold,gene,pearson,n_train,n_test
resnet50,COAD,1,CA4,0.14446351895523415,10572,5079
resnet50,COAD,1,CALB2,0.1950990311023749,10572,5079
resnet50,COAD,1,CCL20,0.46861178289294764,10572,5079
resnet50,COAD,1,CCR7,0.5261017720170967,10572,5079
resnet50,COAD,1,CD177,0.2601714403788387,10572,5079
resnet50,COAD,1,CEACAM6,0.6207873529335649,10572,5079
resnet50,COAD,1,CEACAM7,0.32247145837989866,10572,5079
resnet50,COAD,1,CHGA,0.06387398097893834,10572,5079
resnet50,COAD,1,CHGB,0.30938512569933707,10572,5079
resnet50,COAD,1,CHI3L2,0.39133083782902056,10572,5079
resnet50,COAD,1,CLCA1,0.12556761792285462,10572,5079
resnet50,COAD,1,CLCA4,0.2427270650041503,10572,5079
resnet50,COAD,1,COL11A1,0.17660162955984066,10572,5079
resnet50,COAD,1,CTSE,0.1980565494458559,10572,5079
resnet50,COAD,1,CXCL10,0.33309347380606075,10572,5079
resnet50,COAD,1,CXCL13,0.504184374498608,10572,5079
resnet50,COAD,1,DMBT1,0.5653115965506459,10572,5079
resnet50,COAD,1,DUOX2,0.2712197288574328,10572,5079
resnet50,COAD,1,FCRL1,0.5057284224408293,10572,5079
resnet50,COAD,1,GATA2,0.23238527052308797,10572,5079
resnet50,COAD,1,GCG,0.25925075724136804,10572,5079
resnet50,COAD,1,GUCA2A,0.04125007959352835,10572,5079
resnet50,COAD,1,GUCA2B,0.24539344129175525,10572,5079
resnet50,COAD,1,HEPACAM2,0.1748000499655694,10572,5079
resnet50,COAD,1,IL1B,0.2272893836789801,10572,5079
resnet50,COAD,1,INSL5,0.29075492135338943,10572,5079
resnet50,COAD,1,ITLN1,0.18134944475317336,10572,5079
resnet50,COAD,1,LCN2,0.3309911134447193,10572,5079
resnet50,COAD,1,MMP1,0.02627067004051078,10572,5079
resnet50,COAD,1,MMP3,-0.29642759722761064,10572,5079
resnet50,COAD,1,MS4A1,0.562465825267639,10572,5079
resnet50,COAD,1,MS4A12,0.30937566651493353,10572,5079
resnet50,COAD,1,NXPE4,0.20813832413842887,10572,5079
resnet50,COAD,1,OLFM4,0.2867079164363132,10572,5079
resnet50,COAD,1,OTOP2,0.23563054211433193,10572,5079
resnet50,COAD,1,PI3,0.228702570740375,10572,5079
resnet50,COAD,1,PRPH,0.043439893527959336,10572,5079
resnet50,COAD,1,RETNLB,0.34108309017980626,10572,5079
resnet50,COAD,1,SCG2,0.15866453743178213,10572,5079
resnet50,COAD,1,SCGN,0.18684531541393462,10572,5079
resnet50,COAD,1,SLC26A3,0.25469855056740026,10572,5079
resnet50,COAD,1,SPIB,0.5305369319140772,10572,5079
resnet50,COAD,1,TCL1A,0.39359186380215627,10572,5079
resnet50,COAD,1,TMIGD1,0.31784180510033777,10572,5079
