encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene,gene_index,alpha_g,alpha_g_oos,n_T,n_C,deviance_ratio,score_residual,guard_pass,mean_count_T,var_count_T,mean_count_E,var_count_E,_source
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,RSAD2,40,0.6382830143580066,0.0,9980,4992,0.5618605712321482,6.015680832791368e-09,True,0.7725450901803608,2.841334538000744,0.188301282051282,0.2314159076080534,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,SNCG,45,0.2073183912157906,7.646980636748149,9980,4992,0.7534478563205378,1.902995398954317e-08,True,0.5567134268537074,0.8558873835455257,5.542267628205129,25.29374504717466,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_6,-1,2,donor,ZMAT5,49,0.1563721325663555,0.0360942314888396,9980,4992,0.5054626377306868,1.7097516891326712e-08,True,1.3409819639278555,4.30851171227112,0.3173076923076923,0.3641323613273122,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,AAMDC,0,0.0814002994646155,4.07736398500588,9980,4992,0.8174971384806039,1.045193967808282e-08,True,0.6826653306613226,0.8680229584331506,12.713712910986366,171.09388049666904,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,AREG,4,0.2136769882258137,0.0,9980,4992,0.3477828091522186,1.0851677669811323e-09,True,1.3482965931863728,5.992516388624529,0.3103448275862069,0.4863818341480954,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,CLNS1A,9,0.0466037801497056,5.53033155569447,9980,4992,0.8799947846947839,2.8330380624765517e-10,True,0.3003006012024048,0.3366067840661783,1.1559743384121892,2.728825338824006,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,CROT,10,0.071230141742836,0.0574965640040747,9980,4992,0.3033351693772635,3.985275826071626e-11,True,1.7783567134268536,6.854366675027578,0.2752606255012029,0.3743868380162118,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,CXCL11,13,0.8243756077247484,2.1654597652638055,9980,4992,0.7682327324126403,3.6615859891673026e-08,True,0.4340681362725451,0.8577629856365703,0.8666800320769847,2.343762226053979,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,GTPBP3,18,0.0738340186245247,2.9379710356349125,9980,4992,0.8147539516466562,2.890041617409003e-11,True,0.4735470941883767,0.588036519978528,2.7852846832397753,9.298784819681131,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,HAUS8,20,0.1234529005713943,2.3576623227457385,9980,4992,0.7754275969628106,1.7399622528895074e-10,True,0.3925851703406813,0.5234844476004821,5.016238973536487,29.596487796900647,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,IFIT2,22,1.1765251940785164,0.0,9980,4992,0.8633169927635564,1.2533499209656102e-09,True,0.2587174348697394,0.4228872214817449,1.018243785084202,4.269368320745405,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,MX1,27,0.4089394695576653,0.4098674413423318,9980,4992,0.7298977336895524,9.434054656483724e-10,True,1.18436873747495,2.5875099231432097,4.0166399358460305,26.569003185346865,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,MYH11,29,0.2562319524314944,26.26692046055018,9980,4992,0.6551442965638274,3.2083046748978345e-11,True,0.5208416833667334,1.2068007746126583,0.2243384121892542,0.361332527924649,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,NUDT1,31,0.0959674238983678,3.274730641537538,9980,4992,0.8041443713991172,1.2274844062370302e-10,True,0.302004008016032,0.3729592063172341,1.1698075380914197,2.4301530008495225,a4_nb_dispersion__hoptimus0__main9.csv
hoptimus0,LYMPH_IDC,shipped,donor,Patient_7,-1,0,donor,POLD3,36,0.0898312393787814,17.902970020751194,9980,4992,0.798294541144744,1.1141445011166715e-09,True,0.4255511022044088,0.5465161307684011,2.88672814755413,10.342290235285358,a4_nb_dispersion__hoptimus0__main9.csv
