task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,_source
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,4,8732,7952,0.9106733852496564,1.415215094265346,0.4599826618776483,8732,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,5,8815,8087,0.9174134997163924,1.5240351806225183,0.5471358967314237,8815,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,6,8920,8125,0.9108744394618834,1.6212828221342488,0.6402849548066144,8920,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,7,8993,8219,0.9139330590459246,1.7479038601203714,0.7672165156232625,8993,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,8,9029,8099,0.8969985601949274,1.9383059966496845,1.0073981450395946,9029,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,4,predicted_value_decile,9,8758,7890,0.9008906142955012,2.335718503796529,1.5626978102163736,8758,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,0,10056,8515,0.84675815433572,0.7933134990925815,0.0200762904249872,10056,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,1,10120,8990,0.8883399209486166,1.0081220664525692,0.1900292558632349,10120,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,2,10201,9101,0.8921674345652387,1.130541161712087,0.2886774657509067,10201,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,3,10055,9051,0.9001491795126803,1.25116575630905,0.376195815592367,10055,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,4,9990,9071,0.908008008008008,1.3568295834897397,0.4571000199418168,9990,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,5,10094,9228,0.9142064592827422,1.4561810388597187,0.5392736983294532,10094,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,6,9650,8807,0.912642487046632,1.5759933613989636,0.6395921713082902,9650,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,7,10021,9177,0.9157768685759904,1.718473822160962,0.7737196223867379,10021,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,8,9925,9148,0.9217128463476072,1.9773307619647356,1.0121136059508815,9925,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,cqr,cqr_matched,0.1,5,predicted_value_decile,9,9812,8922,0.909294741133306,2.4548589657434774,1.5683094122630452,9812,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,patient,abs,cqr_matched,0.1,0,predicted_value_decile,0,15680,14804,0.9441326530612244,2.2523975605867346,0.0458572387695312,15680,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,patient,abs,cqr_matched,0.1,0,predicted_value_decile,1,14367,13683,0.9523908958028816,2.2552383772273266,0.2295064277619719,14367,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,patient,abs,cqr_matched,0.1,0,predicted_value_decile,2,14501,13686,0.943796979518654,2.240828218743535,0.3301748316926419,14501,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,patient,abs,cqr_matched,0.1,0,predicted_value_decile,3,14245,13457,0.9446823446823448,2.221868418743419,0.410961288500351,14245,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,patient,abs,cqr_matched,0.1,0,predicted_value_decile,4,12805,12370,0.9660288949629052,2.1927027406286608,0.4778110967395548,12805,0,a4_by_decile__hoptimus0__cqrmain.csv
