encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene_index,quantile,n_T_natural,n_T_used,subsample_fallback,subsample_reason,subsample_size,seconds,cumulative_task_seconds,timebox_s,solver,failure,_source
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.704,461.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.778,465.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.652,469.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.663,473.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.778,478.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.833,483.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,2,-1,0,patient,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.802,487.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,2.959,490.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.814,495.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.265,499.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,8.362,508.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.736,512.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.986,517.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.71,521.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.015,526.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.509,530.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.972,535.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.286,539.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,3,-1,0,patient,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.16,544.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.285,547.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.668,552.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.689,556.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.571,560.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.022,565.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.778,570.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.044,575.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,patient,4,-1,0,patient,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.565,580.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
