metric,scope,value,n,note
pearson_delta_K10_minus_K6,all three encoders,-0.005178531896662354,216,the memo's prediction 5 quantity: the cost in Pearson of training on 13 donors instead of 17
pearson_delta_abs_max,all three encoders,0.08958538078905837,216,"largest absolute paired difference over every fold, draw and encoder"
pearson_delta_frac_within_0.02,all three encoders,0.625,216,
width_ratio_over_pooled,donor_set=23_merged arm=K10 method=hcp,1.9334739160640355,207,"mean width 4.101785 over mean pooled width 2.121459, both pooled over folds, draws and encoders"
width_ratio_over_pooled,donor_set=23_merged arm=K10 method=dwr,1.4201483316992267,207,"mean width 3.012786 over mean pooled width 2.121459, both pooled over folds, draws and encoders"
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=hoptimus0,1.9227442518551412,69,
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=dwr encoder=hoptimus0,1.4178726062777232,69,
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=resnet50,1.9511562633508897,69,
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=dwr encoder=resnet50,1.427863040470907,69,
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=hcp encoder=uni_v2,1.925889920535773,69,
width_ratio_over_pooled_by_encoder,donor_set=23_merged arm=K10 method=dwr encoder=uni_v2,1.4144223526871662,69,
hcp_coverage_within_0.92_0.95,donor_set=23_merged arm=K10,0.04830917874396135,207,"the memo's 'most likely 0.92 to 0.95' band, as a fraction of cells"
hcp_coverage_upper_bound_0.90_plus_2_over_11,donor_set=23_merged arm=K10,1.0,207,fraction of cells below 0.90 + 2/11 = 1.081818
width_ratio_over_pooled,donor_set=24 arm=K10 method=hcp,1.946612542006421,216,"mean width 4.109367 over mean pooled width 2.111035, both pooled over folds, draws and encoders"
width_ratio_over_pooled,donor_set=24 arm=K10 method=dwr,1.4297434035828247,216,"mean width 3.018239 over mean pooled width 2.111035, both pooled over folds, draws and encoders"
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=hcp encoder=hoptimus0,1.9419044618565486,72,
width_ratio_over_pooled_by_encoder,donor_set=24 arm=K10 method=dwr encoder=hoptimus0,1.431098289469582,72,
