encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_C,n_E,sigma_floor,sigma_clip_lo_pct,sigma_clip_hi_pct,sigma_clip_lo,sigma_clip_hi,sigma_p1_raw_cal,sigma_p99_raw_cal,sigma_min_raw_cal,sigma_min_raw_test,sigma_median_raw_cal,frac_cal_raw_below_floor,frac_test_raw_below_floor,p1_below_floor,frac_test_clipped_low,frac_test_clipped_high,frac_cal_clipped_low,frac_cal_clipped_high,lower_clip_binds,upper_clip_binds,_source
hoptimus0,COAD,shipped,patient,0,-1,0,block,1075,10572,0.001,1.0,99.0,0.0985106470398598,0.9407219874089582,0.0985106470398598,0.9407219874089582,-0.1499844584969067,-0.7837263971303302,0.4118790046165003,0.0011162790697674,0.0368993567915247,False,0.0922001513431706,0.0140257283390087,0.0100093023255813,0.0100093023255813,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,patient,0,-1,1,block,1143,10572,0.001,1.0,99.0,0.0925175043927664,0.9541552339264614,0.0925175043927664,0.9541552339264614,-0.3751013896944286,-0.6616477712490151,0.4108606309989909,0.0013123359580052,0.0276636398032538,False,0.0753310631857737,0.0110631857737419,0.0100087489063867,0.0100087489063867,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,patient,0,-1,2,block,1163,10572,0.001,1.0,99.0,0.077692611805187,0.9530690849473604,0.077692611805187,0.9530690849473604,-0.2218996106143119,-0.7139699839258756,0.402110673489862,0.0020808254514187,0.0216628830874006,False,0.0496973136587211,0.0119050321604237,0.0100085984522785,0.0100085984522785,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,patient,1,-1,0,slide,3620,5079,0.001,1.0,99.0,0.1195146476976954,1.077425981796206,0.1195146476976954,1.077425981796206,-0.2893763103372764,-0.3565501257728114,0.5205295255174003,0.001049723756906,0.0010750147666863,False,0.0096751329001772,0.0097617641267966,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,patient,1,-1,1,slide,3417,5079,0.001,1.0,99.0,0.0268509293541535,0.9625017351853378,0.0268509293541535,0.9625017351853378,-0.2598012204984794,-0.137820272571553,0.4021710538291487,0.0064266900790166,0.0004685961803504,False,0.0009135656625319,0.0297026973813742,0.0100029265437518,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,patient,1,-1,2,slide,3620,5079,0.001,1.0,99.0,0.0857978089764843,1.071593776528002,0.0857978089764843,1.071593776528002,-0.2392210319700676,-0.2146409313780771,0.4821294711867011,0.0024806629834254,0.001346721795629,False,0.0073006497341996,0.013502658003544,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,0,donor,3535,3620,0.001,1.0,99.0,0.0269359135262635,1.1847016893473536,0.0269359135262635,1.1847016893473536,-0.3837637691417419,-0.2775746518015103,0.5115491503862999,0.0066930693069306,0.0020773480662983,False,0.0031878453038674,0.0104419889502762,0.010002828854314,0.010002828854314,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,1,donor,3417,3620,0.001,1.0,99.0,0.001,0.982125955656389,-0.014418079539796,0.982125955656389,-0.3175621325669413,-0.4943593089860008,0.4020502515930292,0.0124729294702955,0.0052430939226519,True,0.0052430939226519,0.0064530386740331,0.0124729294702955,0.0100029265437518,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,-1,2,donor,3535,3620,0.001,1.0,99.0,0.0804481190288202,1.2561706310432714,0.0804481190288202,1.2561706310432714,-0.299717399488839,-0.2229976898334402,0.5331717369682623,0.003089108910891,0.0016243093922651,False,0.0055801104972375,0.0071933701657458,0.010002828854314,0.010002828854314,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,-1,0,donor,3620,3535,0.001,1.0,99.0,0.1083176782198502,1.229483618962678,0.1083176782198502,1.229483618962678,-0.2149986498242208,-0.3254273109442538,0.5538575385910898,0.0017624309392265,0.0018274398868458,False,0.0113041018387553,0.0092616690240452,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
