task,label_set,encoder,design,score,alpha,subset,gene_subset,is_conformal,n_folds,n_cells,coverage,coverage_sd,width_mean,width_median,width_median_of_cells,interval_score,miss_above,miss_below,n_infinite,n_spot_gene,n_genes,n_T,n_C,K_median,frac_infinite,_source
LYMPH_IDC,shipped,resnet50,patient,scaled,0.1,full,all,True,4,12,0.8178902729263909,0.0803906432706999,4.737577882945042,2.237352138958005,4.971576355537596,6.773894301919875,0.1440176589412881,0.0380920681323209,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.1,nb_matched,all,True,4,12,0.8230198029825534,0.0833326196033082,3.683875369797611,2.142459050700859,3.865060999571105,5.570329685238971,0.1431842705880866,0.0337959264293599,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.15,cqr_matched,all,True,4,4,0.7578538050616352,0.0690277046343809,2.44529576234563,2.004603445327278,2.5644968739849774,4.751435531897406,0.1932492750228754,0.0488969199154894,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.15,full,all,True,4,12,0.7742917435606139,0.0905968800292632,2.5465232962988176,1.8496206242889093,2.6577059982794062,4.2556055551152605,0.1669262155990616,0.0587820408403244,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.15,nb_matched,all,True,4,12,0.7782759359977299,0.0944719232545838,2.317267021084374,1.7878341831287472,2.431947034962063,3.93368722076347,0.1683771788135542,0.0533468851887157,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.2,cqr_matched,all,True,4,4,0.7310462511202099,0.073699297023366,2.246201177459926,1.8133612507145425,2.3574018027258523,4.148431761859662,0.2023609333340187,0.0665928155457713,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.2,full,all,True,4,12,0.732470056340345,0.0997777066451129,1.9979793001159931,1.622279564406628,2.0892002751417156,3.5226075380012207,0.1858222771510599,0.081707666508595,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.2,nb_matched,all,True,4,12,0.7357567893513343,0.1068188779236536,1.7902732041497875,1.5566814142831351,1.8763699469588309,3.2524638193910316,0.1891312227939469,0.0751119878547188,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.3,cqr_matched,all,True,4,4,0.6849621583788271,0.0789828768408676,1.9450716280311249,1.5270050390337888,2.04346878804745,3.398396357132786,0.2171510570347466,0.0978867845864262,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.3,full,all,True,4,12,0.662087976153452,0.1124378043906632,1.604006322633727,1.3350874287789776,1.682098928889456,2.88569447382288,0.2084884435786914,0.1294235802678565,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled,0.3,nb_matched,all,True,4,12,0.6653257063078525,0.1259102834652042,1.4577033119849905,1.2642622374048698,1.529735123466205,2.697467078107746,0.213388808320257,0.1212854853718903,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.02,cqr_matched,all,True,4,4,0.8715935472698579,0.034293215630394,3.970142569263818,3.313784317529959,4.144109527319342,12.174432372660066,0.1239490937437885,0.0044573589863535,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.02,full,all,True,4,12,0.9203999732905982,0.0489517038879663,28.79268819723337,14.188185979495657,30.048330365681966,32.89663295462818,0.0717018335993564,0.0078981931100453,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.02,nb_matched,all,True,4,12,0.9200539419272388,0.0508778553950392,25.31621974973427,16.119241275944276,26.456710637707275,29.20656120673438,0.0736572327539085,0.0062888253188528,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.05,cqr_matched,all,True,4,4,0.8327190585931877,0.0501873759215841,3.17353058140556,2.681309948765703,3.3197226477227497,7.96100904986068,0.1551609479738552,0.012119993432957,0,119784,6,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.05,full,all,True,4,12,0.8743513184313292,0.0683646314194671,10.966692870225245,3.911732277530588,11.520381805877593,13.738886352608844,0.1068009108612807,0.01884777070739,0,2994600,50,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
LYMPH_IDC,shipped,resnet50,patient,scaled_clip,0.05,nb_matched,all,True,4,12,0.8773900175592361,0.0737454651202378,8.509320810083986,3.682565112725854,8.94938931307369,11.07614528216365,0.1066088644129457,0.016001118027818,0,958272,16,9980,4988,1.0,0.0,a4_scores_by_task__resnet50__main9.csv
