task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws,superseded_label_set
LYMPH_IDC,shipped,virchow2,random,abs,1,spot,1,0.8996484992670274,0.0020719969245589554,0.006927468450792371,False
LYMPH_IDC,shipped,virchow2,random,abs,2,spot,1,0.9002148037416358,0.0031082054082678685,0.010376391585734737,False
LYMPH_IDC,shipped,virchow2,random,abs,3,spot,1,0.9000997644631447,0.0014763458275218796,0.005169345381459825,False
LYMPH_IDC,shipped,virchow2,random,scaled,0,spot,1,0.9001904875951487,0.0022835372716843386,0.018822541932355743,False
LYMPH_IDC,shipped,virchow2,random,scaled,1,spot,1,0.9003065603118428,0.001202254687834409,0.0020441425453279756,False
LYMPH_IDC,shipped,virchow2,random,scaled,2,spot,1,0.8998875189912752,0.0011502596783714177,0.010093837060514721,False
LYMPH_IDC,shipped,virchow2,random,scaled,3,spot,1,0.9008174915815745,0.0019409741107055,0.014973426451206166,False
PAAD,shipped,virchow2,donor,abs,TENX116,donor,1,0.8615124378109452,,,False
PAAD,shipped,virchow2,donor,abs,TENX126,donor,1,0.9312660174269606,,,False
PAAD,shipped,virchow2,donor,abs,TENX140,donor,1,0.8794515235457063,,,False
PAAD,shipped,virchow2,donor,scaled,TENX116,donor,1,0.903273631840796,,,False
PAAD,shipped,virchow2,donor,scaled,TENX126,donor,1,0.8895335725269092,,,False
PAAD,shipped,virchow2,donor,scaled,TENX140,donor,1,0.8252132963988921,,,False
PAAD,shipped,virchow2,patient,abs,0,patient,1,0.8299900497512438,,,False
PAAD,shipped,virchow2,patient,abs,1,patient,1,0.8794515235457063,,,False
PAAD,shipped,virchow2,patient,abs,2,patient,1,0.9198154792414147,,,False
PAAD,shipped,virchow2,patient,scaled,0,patient,1,0.9061293532338308,,,False
PAAD,shipped,virchow2,patient,scaled,1,patient,1,0.8252132963988921,,,False
PAAD,shipped,virchow2,patient,scaled,2,patient,1,0.8777549974372117,,,False
PAAD,shipped,virchow2,random,abs,0,spot,1,0.8925485782422182,0.0024848481896728386,0.018404322309455944,False
PAAD,shipped,virchow2,random,abs,1,spot,1,0.8940766940355631,0.0024060596384904947,0.014612058251015914,False
PAAD,shipped,virchow2,random,abs,2,spot,1,0.8921367733450211,0.0015697046499193177,0.011607725002452213,False
PAAD,shipped,virchow2,random,scaled,0,spot,1,0.9035109675712161,0.0032853948874179773,0.04325210874542998,False
PAAD,shipped,virchow2,random,scaled,1,spot,1,0.8997952469583133,0.003933067917936892,0.04871748728283668,False
PAAD,shipped,virchow2,random,scaled,2,spot,1,0.9031577118390188,0.002147019391095649,0.01699977993206366,False
PRAD,shipped,virchow2,donor,abs,PRAD_patient1,slide,3,0.8073123631020648,0.045759945476783644,0.2869058681971518,False
PRAD,shipped,virchow2,donor,abs,PRAD_patient2,slide,3,0.940310874751867,0.03193367255721538,0.4680529600993351,False
PRAD,shipped,virchow2,donor,scaled,PRAD_patient1,slide,3,0.8104946025689911,0.01778353932767067,0.05850631579091824,False
PRAD,shipped,virchow2,donor,scaled,PRAD_patient2,slide,3,0.8770591055673499,0.05470308957886568,97.56738844325552,False
PRAD,shipped,virchow2,patient,abs,0,slide,3,0.7997145972225773,0.039201935304085965,0.1268372873258124,False
PRAD,shipped,virchow2,patient,abs,1,slide,3,0.9577229914956069,0.01731429222030266,0.22637118654262875,False
PRAD,shipped,virchow2,patient,scaled,0,slide,3,0.8335931468908151,0.019073555345326947,0.09701503773835424,False
PRAD,shipped,virchow2,patient,scaled,1,slide,3,0.909049832293929,0.045028017007044854,104.78739827586517,False
PRAD,shipped,virchow2,random,abs,0,spot,1,0.9038462552480977,0.0015486909638411548,0.009180890250613744,False
PRAD,shipped,virchow2,random,abs,1,spot,1,0.9037172317251096,0.0023721250604683275,0.009736717797139543,False
PRAD,shipped,virchow2,random,scaled,0,spot,1,0.8974805392316181,0.0009647958395705289,0.007532284082403511,False
PRAD,shipped,virchow2,random,scaled,1,spot,1,0.8976341352692719,0.001745234161141578,0.00742123175331516,False
READ,shipped,virchow2,donor,abs,READ_specimen1,slide,1,0.8928050390595633,,,False
READ,shipped,virchow2,donor,abs,READ_specimen7,slide,1,0.7179029209259103,,,False
READ,shipped,virchow2,donor,scaled,READ_specimen1,slide,1,0.89691310591332,,,False
READ,shipped,virchow2,donor,scaled,READ_specimen7,slide,1,0.780521510940272,,,False
READ,shipped,virchow2,patient,abs,0,slide,1,0.8928050390595633,,,False
READ,shipped,virchow2,patient,abs,1,slide,1,0.713525650502661,,,False
READ,shipped,virchow2,patient,scaled,0,slide,1,0.89691310591332,,,False
