task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
LUNG,shipped,virchow,random,abs,2,0.8996334704961204,0.0019839239628054875,2.0558711011119106,0.012777152168743486,2.6920255813409835,0.04842337982763417,0.051943149676245345,spot,1027,False
LUNG,shipped,virchow,random,scaled,2,0.9003661490982288,0.0018540577400575668,2.6054590764952668,0.04853904351556194,3.296034904562433,0.04903323423766347,0.05060061666410782,spot,1027,False
LYMPH_IDC,shipped,virchow,donor,abs,4,0.8181218484726591,0.1380571582585742,2.4599302297257455,0.457952544679175,4.826504391458295,0.14372788469035086,0.03815026683698997,donor,9980,False
LYMPH_IDC,shipped,virchow,donor,scaled,4,0.8161724150246917,0.10516180379980658,5.0068901774777,1.9045729216188965,7.16346947042362,0.14928677303091523,0.03454081194439304,donor,9980,False
LYMPH_IDC,shipped,virchow,patient,abs,4,0.799548649932916,0.13755964034207074,2.3446659486725316,0.3688588489403878,4.821006631765306,0.14429598049206988,0.05615536957501423,patient,9980,False
LYMPH_IDC,shipped,virchow,patient,scaled,4,0.7880596385384753,0.09395340633462315,4.092950758142338,2.2552978490363444,6.56907888310603,0.15854117777966265,0.05339918368186211,patient,9980,False
LYMPH_IDC,shipped,virchow,random,abs,4,0.9002557868310147,0.0005099662700989425,1.5042121535524933,0.002843404256887809,2.007254711162616,0.06893109896551687,0.03081311420346843,spot,9980,False
LYMPH_IDC,shipped,virchow,random,scaled,4,0.900207480773068,0.0009623824391235647,1.4273648197774491,0.007632653753462618,1.8786161517440898,0.08373795973533738,0.01605455949159463,spot,9980,False
PAAD,shipped,virchow,donor,abs,3,0.899660489492462,0.03488681935644576,3.1700194685424825,0.48551588207676294,4.131828843873747,0.06070755892731344,0.039631951580224596,donor,1951,False
PAAD,shipped,virchow,donor,scaled,3,0.8696761511296506,0.06232663970758527,53.99509457364187,21.919776306388375,55.62844545240401,0.07134886656444711,0.05897498230590237,donor,1951,False
PAAD,shipped,virchow,patient,abs,3,0.8721248803351052,0.06144837921354369,3.1640703492752067,0.423113865531131,4.386172610687194,0.08159341157081046,0.04628170809408449,patient,1951,False
PAAD,shipped,virchow,patient,scaled,3,0.835372077783754,0.039193043723895524,50.50848426511806,19.937480499997633,52.75077663450832,0.09851241835954645,0.06611550385669955,patient,1951,False
