encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,IDC,shipped,random,2,3,0,7015,6306,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,2,4,0,7015,6306,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,3,0,0,7015,6507,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,3,1,0,7015,6507,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,3,2,0,7015,6507,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,3,3,0,7015,6507,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,random,3,4,0,7015,6507,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,0,-1,0,7015,3005,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,0,-1,1,7015,3005,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,0,-1,2,7015,7760,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,1,-1,0,7015,3005,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,1,-1,1,7015,3005,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,1,-1,2,7015,4010,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,2,-1,0,7015,7760,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,2,-1,1,7015,3005,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,2,-1,2,7015,3005,4010,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,3,-1,0,7015,4010,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,3,-1,1,7015,20761,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,patient,3,-1,2,7015,7760,3005,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,donor,IDC_shipped_patient_1,-1,0,7015,4010,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,donor,IDC_shipped_patient_1,-1,1,7015,7760,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,donor,IDC_shipped_patient_1,-1,2,7015,3005,20761,0,0,0,True,True,7015,7015,0.0,0.0,0.0
hoptimus0,IDC,shipped,donor,IDC_shipped_patient_2,-1,0,7015,4010,7760,0,0,0,True,True,7015,7015,0.0,0.0,0.0
