encoder,task,design,fold,repeat,grid,n_train,median_nn_train_dist
uni_v2,IDC,blocked,1,1,10,27533,942.0
uni_v2,IDC,blocked_buffered,1,1,10,22813,1883.0
uni_v2,IDC,blocked,1,2,4,26391,3294.0
uni_v2,IDC,blocked_buffered,1,2,4,24787,4235.0
uni_v2,IDC,blocked,1,2,6,27079,1882.0
uni_v2,IDC,blocked_buffered,1,2,6,24275,2748.0
uni_v2,IDC,blocked,1,2,10,27543,1154.2313459614584
uni_v2,IDC,blocked_buffered,1,2,10,23040,2190.0
uni_v2,IDC,blocked,1,3,4,26578,2824.0
uni_v2,IDC,blocked_buffered,1,3,4,24670,3765.0
uni_v2,IDC,blocked,1,3,6,27397,2353.0
uni_v2,IDC,blocked_buffered,1,3,6,25164,3294.0
uni_v2,IDC,blocked,1,3,10,27533,1099.0
uni_v2,IDC,blocked_buffered,1,3,10,22986,2104.139966827302
uni_v2,IDC,blocked,1,4,4,26775,2824.0
uni_v2,IDC,blocked_buffered,1,4,4,25007,3764.0
uni_v2,IDC,blocked,1,4,6,27234,1883.0
uni_v2,IDC,blocked_buffered,1,4,6,24715,2824.0
uni_v2,IDC,blocked,1,4,10,27603,1095.0
uni_v2,IDC,blocked_buffered,1,4,10,22929,1883.0
uni_v2,IDC,blocked,2,0,4,30690,2198.0
uni_v2,IDC,blocked_buffered,2,0,4,29369,2921.0
uni_v2,IDC,blocked,2,0,6,30787,1412.0
uni_v2,IDC,blocked_buffered,2,0,6,28855,2353.0
uni_v2,IDC,blocked,2,0,10,31372,942.0
uni_v2,IDC,blocked_buffered,2,0,10,28571,1883.0
uni_v2,IDC,blocked,2,1,4,30531,2555.0
uni_v2,IDC,blocked_buffered,2,1,4,29442,3297.0
uni_v2,IDC,blocked,2,1,6,30948,1649.0
uni_v2,IDC,blocked_buffered,2,1,6,29354,2399.5790235765407
uni_v2,IDC,blocked,2,1,10,31385,941.0
uni_v2,IDC,blocked_buffered,2,1,10,28365,1882.0
uni_v2,IDC,blocked,2,2,4,31075,2199.0
uni_v2,IDC,blocked_buffered,2,2,4,29856,2920.0
uni_v2,IDC,blocked,2,2,6,31398,1882.0
uni_v2,IDC,blocked_buffered,2,2,6,29839,2823.0
uni_v2,IDC,blocked,2,2,10,31332,941.0
uni_v2,IDC,blocked_buffered,2,2,10,28439,1882.0
uni_v2,IDC,blocked,2,3,4,31083,1883.0
uni_v2,IDC,blocked_buffered,2,3,4,29758,2824.0
uni_v2,IDC,blocked,2,3,6,31117,1412.0
uni_v2,IDC,blocked_buffered,2,3,6,29406,2353.0
uni_v2,IDC,blocked,2,3,10,31390,941.0
uni_v2,IDC,blocked_buffered,2,3,10,28454,1882.0
uni_v2,IDC,blocked,2,4,4,30755,2824.0
uni_v2,IDC,blocked_buffered,2,4,4,29743,3765.0
uni_v2,IDC,blocked,2,4,6,30927,1412.0
uni_v2,IDC,blocked_buffered,2,4,6,28962,2353.0
uni_v2,IDC,blocked,2,4,10,31312,941.0
uni_v2,IDC,blocked_buffered,2,4,10,28258,1882.0
uni_v2,IDC,blocked,3,0,4,31249,2353.0
uni_v2,IDC,blocked_buffered,3,0,4,30325,3294.0
uni_v2,IDC,blocked,3,0,6,32349,1412.0
uni_v2,IDC,blocked_buffered,3,0,6,30930,2353.0
uni_v2,IDC,blocked,3,0,10,32334,941.0
uni_v2,IDC,blocked_buffered,3,0,10,30050,1882.0
uni_v2,IDC,blocked,3,1,4,30900,2353.0
uni_v2,IDC,blocked_buffered,3,1,4,29740,3294.0
uni_v2,IDC,blocked,3,1,6,32056,1412.0
uni_v2,IDC,blocked_buffered,3,1,6,30612,2353.0
uni_v2,IDC,blocked,3,1,10,32301,941.0
uni_v2,IDC,blocked_buffered,3,1,10,29855,1883.0
uni_v2,IDC,blocked,3,2,4,30851,2353.0
uni_v2,IDC,blocked_buffered,3,2,4,29751,3294.0
uni_v2,IDC,blocked,3,2,6,31910,1412.0
uni_v2,IDC,blocked_buffered,3,2,6,30381,2353.0
uni_v2,IDC,blocked,3,2,10,32362,941.0
uni_v2,IDC,blocked_buffered,3,2,10,29902,1882.0
uni_v2,IDC,blocked,3,3,4,30850,3294.0
uni_v2,IDC,blocked_buffered,3,3,4,30052,4235.0
uni_v2,IDC,blocked,3,3,6,31711,1882.0
uni_v2,IDC,blocked_buffered,3,3,6,30355,2823.0
uni_v2,IDC,blocked,3,3,10,32330,941.0
uni_v2,IDC,blocked_buffered,3,3,10,30103,1883.0
uni_v2,IDC,blocked,3,4,4,30990,2353.0
uni_v2,IDC,blocked_buffered,3,4,4,29822,3294.0
uni_v2,IDC,blocked,3,4,6,31559,1412.0
uni_v2,IDC,blocked_buffered,3,4,6,29958,2353.0
uni_v2,IDC,blocked,3,4,10,32374,941.0
uni_v2,IDC,blocked_buffered,3,4,10,30024,1882.0
uni_v2,LUNG,blocked,0,0,4,1742,2193.0
uni_v2,LUNG,blocked_buffered,0,0,4,1197,2943.654360850858
uni_v2,LUNG,blocked,0,0,6,1871,1827.0
uni_v2,LUNG,blocked_buffered,0,0,6,1073,2924.0
