encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,score,weighting,subset,alpha,w3_variant,feasible_level,guaranteed_level,K,auc,auc_holdout,clip_rate,clip_rate_test,no_support,classifier_converged,n_eff_median,n_eff_frac,n_C_used,n_E_used,frac_morph_joined,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,width_mean_spotgene,width_median,sigma_clip_lo,sigma_clip_hi,sigma_lo_hit_guard,sigma_clip_rate_cal,sigma_clip_rate_test,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5060889207422377,1.5452318636774196,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.8983259041846903,1.5711315244246118,1.586848789992081,2.060838543849368,0.0794382305734923,0.0222358652418174,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.163295290358864,1.1891347153217469,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.7931522918807041,1.2133564267163417,1.2254031277180175,1.723635644145784,0.1343159312025873,0.0725317769167086,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W1,all,0.1,,,,,0.5571885489405741,0.5019397779619097,0.0050134288272157,0.0107234227859125,0,True,10726.716614581388,0.9603148267306524,11170,18371,,0,918550,0.0,0,1.505997913750896,1.545202123190848,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.8982743547638533,1.57103090343357,1.58673999242585,2.060889757114851,0.0794555720415578,0.0222700731945889,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W1b,morph_joined,0.1,,,,,0.5075024720152774,0.5012386742229573,0.0050044156608772,0.0054263565891472,0,True,10183.21271324392,0.9992358662784732,10191,16770,0.9126637554585152,0,838500,0.0,0,1.5080484477881293,1.5423628031179626,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.8980926929684423,1.573030740947077,1.5880439597958809,2.061805538948179,0.0793623496206942,0.0225449574108635,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10191.0,1.0,10191,16770,0.9126637554585152,0,838500,0.0,0,1.508217642697398,1.5424772237816056,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.898125279541856,1.5732251654006832,1.5882382581503096,2.0617633940305686,0.0793491445308594,0.0225255759272846,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10191.0,1.0,10191,16770,0.9126637554585152,0,838500,0.0,0,1.1645569145279608,1.1868009103115296,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.7923426232250086,1.2144263799657158,1.225921769432559,1.7255084632076738,0.1344842092290699,0.0731731675459214,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5060889207422377,1.5452318636774196,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.8983259041846903,1.5711315244246118,1.586848789992081,2.060838543849368,0.0794382305734923,0.0222358652418174,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W3,all,0.1,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5060889207422377,1.5452318636774196,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.8983259041846903,1.5711315244246118,1.586848789992081,2.060838543849368,0.0794382305734923,0.0222358652418174,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W3,all,0.2,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.163295290358864,1.1891347153217469,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.7931522918807041,1.2133564267163417,1.2254031277180175,1.723635644145784,0.1343159312025873,0.0725317769167086,1200,24
hoptimus0,CCRCC,shipped,random,0,0,0,spot,35996,11170,18371,scaled_clip,W3,all,8.951750067138126e-05,feasible_level,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,7.115983189842213,6.833990638749765,0.1206492815554247,0.6828452120455535,False,0.02,0.0207196124326384,0.9999258668222422,7.429293295922507,7.511704752524402,7.699880427359734,6.960808052199348e-05,4.525097235767399e-06,1200,24
