encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
uni_v1,COAD,leave_one_sample,2,12116,3535,50,0.0078125,0.5321066379547119,1
uni_v1,COAD,leave_one_sample,3,12031,3620,50,0.0078125,0.6133214235305786,1
uni_v1,HCC,patient,0,1941,2255,50,0.0078125,0.0799938291311264,1
uni_v1,HCC,patient,1,2255,1941,50,0.0078125,0.0769876092672348,1
uni_v1,HCC,random_spot,0,1941,2255,50,0.0078125,0.357572466135025,2
uni_v1,HCC,random_spot,1,2255,1941,50,0.0078125,0.3658730387687683,2
uni_v1,HCC,leave_one_sample,0,2255,1941,50,0.0078125,0.0769876092672348,1
uni_v1,HCC,leave_one_sample,1,1941,2255,50,0.0078125,0.0799938291311264,1
uni_v1,IDC,patient,0,14775,20761,50,0.0078125,0.4585625827312469,1
uni_v1,IDC,patient,1,27776,7760,50,0.0078125,0.6182034611701965,1
uni_v1,IDC,patient,2,31526,4010,50,0.0078125,0.5476971864700317,1
uni_v1,IDC,patient,3,32531,3005,50,0.0078125,0.6695807576179504,1
uni_v1,IDC,random_spot,0,14775,20761,50,0.0078125,0.7977521419525146,4
uni_v1,IDC,random_spot,1,27776,7760,50,0.0078125,0.8026487231254578,4
uni_v1,IDC,random_spot,2,31526,4010,50,0.0078125,0.8025124073028564,4
uni_v1,IDC,random_spot,3,32531,3005,50,0.0078125,0.7961404919624329,4
